"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1","45694","samp. 51-417A-28-1-1,106-123","CLAY","BEIDELLITE","BASALT",51.77,0.04,28.38,0.07,2.06,1.8,6.2,0.09,1.75,0.23,0.09,11.13,0,0.07,0.09,0,0,0,0,0,0,0
"2","45694","samp. 51-417A-28-1-1,106-123","CLAY","BEIDELLITE","BASALT",51.77,0.04,28.38,0.07,2.06,1.8,6.2,0.09,1.75,0.23,0.09,11.13,0,0.07,0.09,0,0,0,0,0,0,0
"3","45506","samp. 10","CLAY","BEIDELLITE","BASALT",39.46,0,24.14,0,3.8,0.73,11.35,0.18,2.57,0.14,0,18,0,0.07,0,0,0,0,0,0,0,0
"4","45920","samp. 19","CLAY","BEIDELLITE","BASALT",56.73,0.04,27.91,0,2.95,1.47,4.46,0,0.03,0.09,0.24,11.13,0,0.07,0.02,0,0,0,0,0,0,0
"5","45693","samp. 51-417A-28-1-1,106-123","CLAY","BEIDELLITE","BASALT",46.14,0.03,32.32,0,1.13,1.8,8.96,0.17,0.73,0.22,0.11,17.54,0,0.08,0.13,0,0,0,0,0,0,0
"6","45920","samp. 19","CLAY","BEIDELLITE","BASALT",56.73,0.04,27.91,0,2.95,1.47,4.46,0,0.03,0.09,0.24,11.13,0,0.07,0.02,0,0,0,0,0,0,0
"7","45506","samp. 10","CLAY","BEIDELLITE","BASALT",39.46,0,24.14,0,3.8,0.73,11.35,0.18,2.57,0.14,0,18,0,0.07,0,0,0,0,0,0,0,0
"8","45696","samp. 51-417A-34-6-1,48-56","CLAY","BEIDELLITE","BASALT",45.19,0.19,16.37,0.17,14.88,1.42,8.03,0.13,3.04,0.22,0.06,20.9,0,0.2,0.41,0,0,0,0,0,0,0
"9","45773","samp. 19","CLAY","BEIDELLITE","BASALT, THOLEIITIC",29.97,0.06,8.15,0.05,20.52,2.58,7.7,0.21,0.04,0.13,0.28,18.6,0,0.07,0,0,0,0,0,0,0,0
"10","45919","samp. 19","CLAY","BEIDELLITE","BASALT",53.65,0.01,25.17,0.02,3.39,1.51,5.46,0.04,0,0.09,0.4,14.43,0,0.07,0,0,0,0,0,0,0,0
