"","SAMPLE","MINERAL","GROUP","As","W","Fe","Co","Ni","Cu","Zn","Bi","Te","Pt","Au","Mo","S","Pb","Ag","Sb","Cr","V","Se","Mn","Cd","Hg","value"
"135","JB-0905-3_C1_Sulf-6-1","ARSENOPYRITE","SULFIDE",42.37,0,33.647,0.33,0,0.048,0.034,0,0.024,0,0.034,0.95,20.001,0,0,0.028,0.0065,0,0.181,0,0,0,97.6535
"136","JB-0905-3_C1_Sulf-6-2","ARSENOPYRITE","SULFIDE",42.87,0.052,33.503,0.405,0,0.074,0,0,0.01,0,0,0.578,19.381,0,0,0.007,0,0.01,0.147,0,0.004,0,97.041
"137","JB-0905-3_C1_Sulf-6-3","ARSENOPYRITE","SULFIDE",42.258,0.002,32.368,1.211,0.133,0.064,0,0,0,0,0,0.16,19.893,0,0,0.021,0.01,0,0.136,0,0.017,0,96.273
"138","JB-0906-11_C3_Sulf-1-13","COBALTITE","SULFIDE",44.256,0.034,5.493,23.766,8.985,0.027,0,0,0,0,0.021,0.16,19.951,0,0.04,0.014,0.01,0.01,0.184,0,0.019,0,102.97
"139","JB-0906-11_C3_Sulf-1-1","COBALTITE","SULFIDE",45.756,0.039,7.42,18.816,13.374,0.008,0,0,0,0.019,0.015,0.16,19.148,0,0,0.018,0.01,0,0.151,0,0,0,104.934
"140","JB-0906-11_C3_Sulf-1-2","COBALTITE","SULFIDE",45.361,0.024,7.684,17.587,14.734,0.002,0.026,0,0,0,0.01,0.18,19.271,0,0,0,0.01,0.01,0.166,0,0.048,0,105.113
"141","JB-0905-3_C1_Sulf-7-1","PYRITE","SULFIDE",0.006,0,43.989,0,0.063,0.085,0,0,0,0,0,0.2,49.824,0,0,0.001,0,0,0.009,0,0,0,94.177
"142","JB-0905-3_C1_Sulf-7-2","PYRITE","SULFIDE",0.013,0.002,43.769,0,0.024,0.005,0.025,0,0,0.003,0,0.12,49.495,0,0,0.038,0.005,0,0.003,0,0,0,93.502
"143","JB-0905-3_C1_Sulf-7-3","PYRITE","SULFIDE",0.023,0.005,43.807,0,0,0.078,0.022,0,0,0,0.021,0.12,48.969,0,0,0,0,0,0,0,0,0,93.045
"144","JB-0905-3_C1_Sulf-7-4","PYRITE","SULFIDE",0,0.055,43.99,0,0,0.11,0.005,0,0,0,0.046,0.13,49.421,0,0,0,0,0.01,0,0,0.042,0,93.809
"145","JB-0905-3_C1_Sulf-7-5","PYRITE","SULFIDE",0,0.012,43.793,0,0.013,0.036,0.029,0,0,0,0.038,0.08,49.778,0,0,0,0,0,0,0,0.007,0,93.786
"146","JB-0905-3_C1_Sulf-7-6","PYRITE","SULFIDE",0.004,0.088,44.124,0,0.006,0.07,0,0,0,0,0.004,0.12,49.388,0,0,0,0,0,0.005,0,0.009,0,93.818
"147","JB-0905-3_C1_Sulf-8-1","PYRITE","SULFIDE",0.282,0,43.814,0.067,0.208,0.019,0.018,0,0,0,0,0.08,49.287,0,0,0.003,0,0,0,0,0,0,93.778
"148","JB-0905-3_C1_Sulf-8-2","PYRITE","SULFIDE",0,0.016,44.133,0,0.011,0.031,0,0,0.028,0,0.078,0.16,50.335,0,0,0,0,0,0,0,0.028,0,94.82
"149","JB-0905-3_C1_Sulf-8-3","PYRITE","SULFIDE",0,0.052,44.329,0,0,0.08,0.021,0,0,0,0,0.12,50.027,0,0,0,0.0015,0,0,0,0,0,94.6305
"150","JB-0905-3_C1_Sulf-8-4","PYRITE","SULFIDE",0,0.001,44.098,0,0,0.045,0,0,0,0,0,0.07,49.798,0,0,0,0,0,0.005,0,0,0,94.017
"151","JB-0905-16_C1_Sulf-1-1","PYRITE","SULFIDE",0.031,0.021,45.467,0.151,0.038,0.186,0.039,0,0,0,0.007,0.09,52.49,0,0,0,0.0065,0,0.006,0,0.198,0,98.7305
"152","JB-0905-16_C1_Sulf-1-2","PYRITE","SULFIDE",0.002,0,45.91,0.152,0.133,0.231,0.08,0,0.046,0,0.026,0.07,51.923,0,0,0,0.0065,0,0.002,0,0.302,0,98.8835
"153","JB-0905-16_C1_Sulf-1-3","PYRITE","SULFIDE",0.016,0.026,46.512,0,0.04,0.184,0.012,0,0.008,0,0,0.12,51.319,0,0,0,0,0.01,0.014,0,0.528,0,98.789
"154","JB-0905-16_C1_Sulf-1-4","PYRITE","SULFIDE",0.031,0.005,46.037,0,0.124,0.101,0,0,0,0,0,0.12,50.545,0,0,0,0.0065,0,0,0,0.456,0,97.4255
"155","JB-0905-16_C1_Sulf-1-5","PYRITE","SULFIDE",0.127,0.013,46.459,0,0.026,0.007,0.043,0,0.062,0,0.053,0.11,51.156,0,0,0.02,0,0,0.015,0,0.434,0,98.525
"156","JB-0905-16_C1_Sulf-1-6","PYRITE","SULFIDE",0.001,0.025,46.408,0,0.212,0.1,0,0,0.036,0,0,0.16,50.237,0,0,0,0,0,0.002,0,0.737,0,97.918
"157","JB-0905-16_C1_Sulf-2-1","PYRITE","SULFIDE",0.034,0,46.409,0.529,0,0,0,0,0.01,0,0,0.08,51.583,0,0,0,0.01,0,0.004,0,0.105,0,98.764
"158","JB-0905-16_C1_Sulf-2-2","PYRITE","SULFIDE",0.027,0,46.676,0.47,0,0.052,0.042,0,0,0,0,0.08,51.369,0,0,0,0,0,0,0,0.06,0,98.776
"159","JB-0905-16_C1_Sulf-2-3","PYRITE","SULFIDE",0.029,0,46.922,0.46,0.038,0,0.085,0,0,0,0,0.08,51.276,0,0,0,0,0.01,0.014,0,0.151,0,99.065
"160","JB-0905-16_C2_Sulf-1-1","PYRITE","SULFIDE",0.027,0,46.532,0,0.18,0.113,0.047,0,0,0,0,0.07,50.694,0,0,0.025,0.02,0,0,0,0.779,0,98.487
"161","JB-0905-16_C2_Sulf-1-2","PYRITE","SULFIDE",0.027,0,44.864,0,0.051,4.347,0.151,0,0.068,0,0,0.11,49.208,0,0,0,0.01,0,0,0,0.395,0,99.231
"162","JB-0905-16_C2_Sulf-1-3","PYRITE","SULFIDE",0.003,0,46.369,0,0.06,0.003,0,0,0.101,0,0.044,0.15,49.959,0,0,0,0,0.01,0.025,0,1.108,0,97.832
"163","JB-0905-16_C2_Sulf-1-4","PYRITE","SULFIDE",0.026,0.034,46.084,0.084,0,0.056,0.094,0,0.046,0,0,0.07,50.287,0,0,0,0.005,0,0.009,0,0.714,0,97.509
"164","JB-0905-16_C2_Sulf-1-5","PYRITE","SULFIDE",0.019,0.044,46.139,0,0.049,0.122,0.001,0,0.005,0.176,0.208,0.09,49.297,0,0,0.033,0,0,0,0,0.827,0,97.01
"165","JB-0905-16_C2_Sulf-1-6","PYRITE","SULFIDE",0.028,0,46.334,0,0.008,0.155,0.007,0,0.019,0.002,0,0.13,49.104,0,0,0.002,0,0,0,0,1.041,0,96.83
"166","JB-0906-11_C1_Sulf-1-1","PYRITE","SULFIDE",0.005,0.027,46.225,0,0.08,0.014,0.029,0,0.008,0.013,0,0.09,51.609,0,0,0,0,0,0.013,0,0.01,0,98.123
"167","JB-0906-11_C1_Sulf-1-2","PYRITE","SULFIDE",0.007,0.014,45.956,0,0,0.009,0.044,0,0.006,0.009,0,0.13,50.932,0,0,0.015,0,0,0,0,0.031,0,97.153
"168","JB-0906-11_C1_Sulf-1-3","PYRITE","SULFIDE",0.013,0.074,45.923,0.009,0.043,0.028,0,0,0.003,0,0.006,0.12,50.565,0,0,0,0,0,0.008,0,0.004,0,96.796
"169","JB-0906-11_C1_Sulf-1-4","PYRITE","SULFIDE",0.026,0,46.036,0,0,0,0.011,0,0,0,0,0.07,50.399,0,0,0,0,0,0.014,0,0.201,0,96.757
"170","JB-0906-11_C1_Sulf-1-5","PYRITE","SULFIDE",0.009,0,45.389,0,0.013,0,0.011,0,0.015,0,0,0.07,51.926,0,0,0,0.01,0,0.017,0,0,0,97.46
"171","JB-0906-11_C1_Sulf-1-6","PYRITE","SULFIDE",0.017,0,45,0,0,0.02,0,0,0,0,0,0.12,51.315,0,0,0.008,0,0,0,0,0,0,96.48
"172","JB-0906-11_C3_Sulf-1-2","PYRITE","SULFIDE",0.032,0,45.491,0,0.618,0,0.019,0,0,0,0,0.08,51.12,0,0,0,0,0,0.02,0,0.024,0,97.404
"173","JB-0906-11_C3_Sulf-1-3","PYRITE","SULFIDE",0,0,46.663,0,0.57,0.073,0.02,0,0,0,0,0.12,51.974,0,0,0,0,0,0.01,0,0.034,0,99.464
"174","JB-0906-11_C3_Sulf-1-4","PYRITE","SULFIDE",0.008,0.012,45.169,0,1.682,0.024,0.03,0,0.006,0.008,0.034,0.07,51.511,0,0,0,0,0,0.02,0,0,0,98.574
"175","JB-0906-11_C3_Sulf-1-5","PYRITE","SULFIDE",0.008,0.013,46.106,0,0.63,0.06,0.062,0,0,0,0,0.08,51.587,0,0,0,0,0,0.012,0,0.047,0,98.605
"176","JB-0906-11_C3_Sulf-1-6","PYRITE","SULFIDE",0.017,0,45.168,0.127,1.408,0.014,0,0,0,0,0,0.09,51.161,0,0,0,0.01,0.002,0,0,0.004,0,98.001
"177","JB-0906-11_C3_Sulf-1-7","PYRITE","SULFIDE",0,0.004,45.633,0,0.66,0.008,0.007,0,0,0,0,0.08,51.343,0,0,0.01,0,0,0,0,0.008,0,97.753
"178","JB-0906-11_C3_Sulf-1-8","PYRITE","SULFIDE",0,0,45.436,0,0.725,0.009,0.016,0,0.094,0,0,0.12,51.578,0,0,0.007,0.01,0.01,0.021,0,0.022,0,98.048
"179","JB-0906-11_C3_Sulf-1-9","PYRITE","SULFIDE",0,0,45.057,0,1.286,0.036,0.003,0,0.14,0,0.016,0.16,52.151,0,0,0,0.01,0,0.018,0,0.02,0,98.897
"180","JB-0906-11_C3_Sulf-1-10","CHALCOPYRITE","SULFIDE",0,0,29.371,0.008,0,33.48,0,0,0.031,0,0,0.16,32.308,0,0,0,0,0.01,0.022,0,0.041,0,95.431
"181","JB-0906-11_C3_Sulf-1-14","PYRITE","SULFIDE",0,0.041,45.053,0.022,0.628,0,0.019,0,0,0,0.003,0.09,52.36,0,0,0.011,0,0,0.007,0,0.01,0,98.244
"182","JB-0906-11_C3_Sulf-1-15","PYRITE","SULFIDE",0.023,0,45.994,0.001,0.938,0,0,0,0,0,0,0.2,52.002,0,0,0.002,0,0,0.023,0,0.052,0,99.235
"183","JB-0906-11_C3_Sulf-2-1","PYRITE","SULFIDE",0.02,0,46.215,0,0.075,0,0.036,0,0.057,0,0,0.07,51.258,0,0,0.028,0,0,0.023,0,0.024,0,97.806
"184","JB-0906-11_C3_Sulf-2-2","PYRITE","SULFIDE",0.01,0.008,46.227,0,0,0,0,0,0,0,0,0.13,52.597,0,0,0,0,0.01,0.007,0,0.031,0,99.02
"185","JB-0906-11_C3_Sulf-2-3","PYRITE","SULFIDE",0.297,0,45.545,0.388,0.052,0.047,0,0,0,0,0,0.11,51.612,0,0,0,0,0,0.03,0,0.002,0,98.083
"186","JB-0905-16_C1_Sulf-3-2","CHALCOPYRITE","SULFIDE",0.007,0,29.836,0,0,35.361,0.134,0,0.015,0,0.012,0.12,33.326,0,0,0.014,0,0,0.026,0,0.003,0,98.854
"187","JB-0905-16_C1_Sulf-3-3","CHALCOPYRITE","SULFIDE",0.019,0.043,29.516,0,0,36.833,0.141,0,0.051,0,0,0.16,33.227,0,0,0,0,0.01,0.039,0,0.032,0,100.071
"188","JB-0905-16_C1_Sulf-4-2","CHALCOPYRITE","SULFIDE",0.027,0,29.478,0,0,30.936,0.842,0,0.006,0,0,0.2,30.63,0,0,0.009,0,0,0.028,0,0.105,0,92.261
"189","JB-0906-11_C2_Sulf-1-1","CHALCOPYRITE","SULFIDE",0.014,0.014,29.472,0,0,33.813,0,0,0,0,0.007,0.12,32.641,0,0,0,0.0065,0,0.012,0,0.002,0,96.1015
"190","JB-0906-11_C2_Sulf-1-2","CHALCOPYRITE","SULFIDE",0.036,0.007,29.722,0,0,33.731,0,0,0,0.004,0.05,0.09,32.993,0,0,0,0.02,0,0.016,0,0.001,0,96.67
"191","JB-0906-11_C2_Sulf-1-3","CHALCOPYRITE","SULFIDE",0.002,0,29.542,0,0,33.68,0.05,0,0.021,0,0,0.08,32.588,0,0,0.001,0.0065,0,0,0,0,0,95.9705
"192","JB-0906-11_C2_Sulf-1-4","CHALCOPYRITE","SULFIDE",0.021,0.095,29.578,0,0,34.023,0.004,0,0,0,0.005,0.13,32.616,0,0,0.011,0,0,0.014,0,0,0,96.497
"193","JB-0906-11_C3_Sulf-1-1","CHALCOPYRITE","SULFIDE",0.022,0.025,28.867,0.012,0,34.224,0,0,0.005,0,0.022,0.07,32.637,0,0,0,0.02,0,0.025,0,0.015,0,95.944
"194","JB-0906-11_C3_Sulf-1-11","CHALCOPYRITE","SULFIDE",0.017,0,29.707,0,0,33.448,0.034,0,0.057,0.016,0,0.07,32.997,0,0,0,0,0.01,0.011,0,0.009,0,96.376
"195","JB-0905-16_C1_Sulf-3-1","DIGENITE","SULFIDE",0,0,5.537,1.06,4.18,59.081,0.127,0,0.028,0,0,0.16,30.882,0,0.087,0.021,0.01,0,0.041,0,0.219,0,101.433
"196","JB-0905-16_C1_Sulf-4-1","DIGENITE","SULFIDE",0,0,3.465,0.17,1.549,60.326,9.146,0,0.006,0.011,0.007,0.12,30.265,0.018,0.041,0,0.0065,0,0.026,0,0.251,0,105.4075
"197","JB-0906-11_C3_Sulf-1-12","PYRRHOTITE","SULFIDE",0.01,0.01,56.538,0,2.487,0,0.015,0,0.002,0,0.005,0.13,37.213,0,0,0,0,0,0.005,0,0.045,0,96.46
"198","44-5_C1_Sulf-1-1","PYRITE","SULFIDE",0.005,0,46.031,0,0,0.007,0,0,0,0,0.056,0.09,51.318,0,0,0,0.028,0,0,0,0,0,97.535
"199","44-5_C1_Sulf-1-2","PYRITE","SULFIDE",0.011,0,46.415,0,0.097,0.047,0.003,0,0,0,0.031,0.13,51.575,0,0,0,0,0,0,0,0.016,0,98.325
"200","44-5_C1_Sulf-1-3","PYRITE","SULFIDE",0.026,0,46.384,0,0.117,0.013,0.031,0,0.028,0,0,0.11,51.01,0,0,0.003,0,0,0.009,0,0.096,0,97.827
"201","44-5_C1_Sulf-1-4","PYRITE","SULFIDE",0.002,0,46.135,0,0,0.061,0.02,0,0.015,0,0,0.09,51.361,0,0,0,0,0,0.002,0,0,0,97.686
"202","44-5_C1_Sulf-1-5","PYRITE","SULFIDE",0,0,45.559,0,0.17,0,0,0,0,0,0,0.2,51.236,0,0,0,0,0,0,0,0.012,0,97.177
"203","44-5_C1_Sulf-1-6","PYRITE","SULFIDE",0.014,0.042,46.249,0,0,0.005,0,0,0.025,0,0,0.2,51.234,0,0,0,0,0,0,0,0.046,0,97.815
"204","47-6_C1_Sulf-1-1","PYRITE","SULFIDE",0,0.008,44.79,0,0.096,0.009,0,0,0,0.001,0.021,0.09,47.471,0,0,0,0,0.01,0,0,2.11,0,94.606
"205","47-6_C1_Sulf-1-2","PYRITE","SULFIDE",0.004,0,46.206,0,0.033,0,0.019,0,0,0,0.001,0.13,53.295,0,0,0,0,0,0,0,0,0,99.688
"206","47-6_C1_Sulf-2-1","PYRITE","SULFIDE",0.001,0.061,47.063,0,0.109,0.038,0.022,0,0.005,0.021,0.009,0.09,50.301,0,0,0,0,0.01,0.012,0,0.669,0,98.411
"207","47-6_C1_Sulf-2-2","PYRITE","SULFIDE",0.009,0.004,46.298,0,0,0.06,0.006,0,0,0,0,0.09,49.078,0,0,0.005,0,0,0,0,1.061,0,96.611
"208","47-6_C1_Sulf-3-1","PYRITE","SULFIDE",0.001,0,46.777,0,0,0,0.006,0,0,0,0,0.13,53.232,0,0,0.001,0,0,0.003,0,0.006,0,100.156
"209","47-6_C1_Sulf-3-2","PYRITE","SULFIDE",0.023,0,46.945,0,0,0,0.039,0,0.006,0,0.027,0.07,52.107,0,0,0,0.01,0,0.015,0,0,0,99.242
"210","47-6_C1_Sulf-3-3","PYRITE","SULFIDE",0.018,0.044,45.954,0,0.077,0.078,0.058,0,0.047,0,0,0.11,47.811,0,0,0.013,0,0,0,0,1.213,0,95.423
"211","47-6_C1_Sulf-4-1","PYRITE","SULFIDE",0.003,0,46.664,0,0.187,0,0,0,0.001,0,0,0.2,52.503,0,0,0,0,0,0,0,0.012,0,99.57
"212","47-6_C1_Sulf-4-2","PYRITE","SULFIDE",0.001,0.03,47.184,0,0.003,0.027,0.054,0,0,0.038,0.007,0.13,52.104,0,0,0,0.01,0,0.003,0,0.023,0,99.614
"213","47-6_C1_Sulf-4-3","PYRITE","SULFIDE",0,0,46.441,0,0,0.032,0,0,0,0,0,0.07,51.958,0,0,0,0,0,0.005,0,0.061,0,98.567
"214","DEN-642_C1_Sulf-3-1","PYRITE","SULFIDE",0,0.013,45.135,0,4.246,0.027,0,0,0,0,0,0.13,50.463,0,0,0,0.02,0,0,0,0.036,0,100.07
"215","DEN-642_C1_Sulf-3-2","PYRITE","SULFIDE",0,0.053,42.518,0.012,0.477,0.039,0,0,0.036,0,0.017,0.18,47.419,0,0,0,0.0065,0,0,0,0.018,0,90.7755
"216","DEN-642_C1_Sulf-3-3","PYRITE","SULFIDE",0.004,0.01,43.972,0,0,0.009,0,0,0.045,0,0.007,0.16,49.985,0,0,0,0,0.01,0,0,0.005,0,94.207
"217","DEN-642_C1_Sulf-3-4","PYRITE","SULFIDE",0.008,0.027,44.32,0,0.019,0.086,0,0,0.041,0,0,0.16,50.934,0,0,0,0,0,0,0,0,0,95.595
"218","DEN-642_C1_Sulf-3-5","PYRITE","SULFIDE",0.031,0.004,43.862,0.034,0.489,0,0.011,0,0.053,0,0,0.12,49.863,0,0,0,0,0,0.02,0,0,0,94.487
"219","DEN-642_C1_Sulf-6-1","PYRITE","SULFIDE",0.008,0.013,43.973,0.052,0.479,0.008,0.03,0,0.097,0,0,0.12,49.106,0,0,0,0,0,0.006,0,0,0,93.892
"220","DEN-642_C1_Sulf-6-2","PYRITE","SULFIDE",0,0,43.681,0.015,0.866,0.222,0.041,0,0,0,0,0.09,50.374,0,0,0,0,0,0.01,0,0.006,0,95.305
"221","DEN-642_C1_Sulf-6-3","PYRITE","SULFIDE",0.008,0.021,43.389,0.044,0.269,0.057,0.041,0,0,0.033,0,0.08,48.693,0,0,0,0.0015,0,0,0,0,0,92.6365
"222","DEN-642_C1_Sulf-6-4","PYRITE","SULFIDE",0.005,0,43.59,0.036,0.431,0,0,0,0.014,0,0,0.07,49.337,0,0,0.018,0.01,0.002,0,0,0,0,93.513
"223","DEN-642_C1_Sulf-2-1","CHALCOPYRITE","SULFIDE",0,0,34.072,0.053,0.276,24.706,0.031,0,0.007,0,0.002,0.05,34.776,0.083,0,0.053,0,0.002,0.008,0,0,0,94.119
"224","GUUD-205-11_C1_Sulf-1-1","PYRITE","SULFIDE",0.003,0.021,46.268,0,0.031,0,0,0,0,0,0.006,0.07,52.415,0,0,0,0,0.01,0,0,0.058,0,98.882
"225","GUUD-205-11_C1_Sulf-1-3","PYRITE","SULFIDE",0.012,0.003,46.304,0,0.019,0,0.008,0,0,0,0,0.12,51.482,0,0,0.018,0,0,0.004,0,0,0,97.97
"226","GUUD-205-11_C2_Sulf-1-1","PYRITE","SULFIDE",0.024,0.03,46.6,0,0,0,0,0,0,0,0.015,0.2,51.43,0,0,0.024,0,0,0.008,0,0.032,0,98.363
"227","GUUD-205-11_C2_Sulf-1-2","PYRITE","SULFIDE",0.026,0.009,46.026,0,0,0,0,0,0,0,0.024,0.2,50.855,0,0,0.021,0,0,0,0,0.041,0,97.202
"228","GUUD-205-11_C2_Sulf-2-2","PYRITE","SULFIDE",0.015,0.013,46.24,0,0.048,0,0,0,0,0,0.049,0.12,51.345,0,0,0,0,0,0,0,0.027,0,97.857
"229","GUUD-205-11_C3_Sulf-1-2","PYRITE","SULFIDE",0.008,0,45.815,0.026,0,0.06,0.017,0,0,0,0.037,0.09,52.204,0,0,0,0,0,0.017,0,0.028,0,98.302
"230","GUUD-205-11_C3_Sulf-1-3","PYRITE","SULFIDE",0.019,0.057,46.179,0,0.013,0.015,0.04,0,0,0,0.001,0.11,51.41,0,0,0.011,0,0,0.042,0,0,0,97.897
"231","GUUD-205-11_C1_Sulf-1-2","PYRITE","SULFIDE",0,0,46.253,0,0,0,0,0,0.05,0,0.011,0.11,51.494,0,0,0,0,0.01,0.009,0,0.03,0,97.967
"232","GUUD-205-11_C1_Sulf-1-4","PYRITE","SULFIDE",0.009,0.046,46.735,0.009,0,0.03,0.021,0,0.056,0,0.057,0.12,52.173,0,0,0,0,0.01,0.016,0,0.023,0,99.305
"233","GUUD-205-11_C1_Sulf-1-5","PYRITE","SULFIDE",0,0,46.055,0,0,0.006,0,0,0.09,0,0,0.12,51.485,0,0,0.015,0.01,0,0,0,0,0,97.781
"234","GUUD-205-11_C2_Sulf-2-1","PYRITE","SULFIDE",0,0.013,45.714,0,0,0,0,0,0.004,0.002,0,0.07,51.212,0,0,0.032,0,0,0.013,0,0.011,0,97.071
"235","GUUD-205-11_C3_Sulf-1-1","PYRITE","SULFIDE",0,0,45.963,0.017,0.17,0,0,0,0,0,0,0.13,51.122,0,0,0,0.02,0,0,0,0.025,0,97.447
"236","GUUD-205-11_C1_Sulf-2-1","CHALCOPYRITE","SULFIDE",0,0,29.976,0,0,34.775,0,0,0,0,0,0.07,32.745,0,0,0,0.01,0,0,0,0.065,0,97.641
"237","GUUD-205-11_C1_Sulf-2-2","CHALCOPYRITE","SULFIDE",0,0,29.761,0,0,34.248,0,0,0.015,0,0,0.07,32.542,0,0,0.044,0,0,0.006,0,0,0,96.686
"238","GUUD-205-11_C1_Sulf-2-3","CHALCOPYRITE","SULFIDE",0.001,0.007,29.889,0,0,35.181,0,0,0.026,0,0,0.18,32.666,0,0,0,0.0065,0.01,0.009,0,0.049,0,98.0245
"239","GUUD-205-11_C1_Sulf-2-4","CHALCOPYRITE","SULFIDE",0,0.056,29.924,0,0,35.098,0.024,0,0,0,0,0.08,32.545,0,0,0.011,0,0,0.002,0,0.032,0,97.772
"240","GUUD-206-14_C1_Sulf-3-1","CHALCOPYRITE","SULFIDE",0,0.009,29.22,0,0,34.801,0.039,0,0.083,0,0,0.11,32.846,0,0,0,0.01,0,0.018,0,0,0,97.136
"241","GUUD-206-14_C1_Sulf-3-2","CHALCOPYRITE","SULFIDE",0.001,0,28.949,0,0.006,33.736,0.315,0,0,0,0,0.08,32.423,0,0,0.001,0,0,0,0,0.066,0,95.577
"242","GUUD-206-14_C1_Sulf-4-1","CHALCOPYRITE","SULFIDE",0,0.032,29.994,0,0,35.273,0.025,0,0,0,0,0.07,32.917,0,0,0.015,0.028,0,0.019,0,0,0,98.373
"243","GUUD-206-14_C1_Sulf-8-1","CHALCOPYRITE","SULFIDE",0,0,29.12,0,0,33.718,0.092,0,0.064,0,0.05,0.07,31.873,0,0.005,0.005,0.02,0.01,0.004,0,0.079,0,95.11
"244","GUUD-206-14_C1_Sulf-9-1","CHALCOPYRITE","SULFIDE",0.045,0,30.117,0,0,33.377,0.016,0,0.024,0,0.003,0.09,33.326,0,0,0,0,0,0,0,0,0,96.998
"245","GUUD-206-14_C1_Sulf-9-2","CHALCOPYRITE","SULFIDE",0.018,0.065,29.421,0,0,35.209,0.024,0,0.012,0,0,0.08,33.151,0,0,0,0,0.01,0.005,0,0.047,0,98.042
"246","GUUD-206-14_C1_Sulf-11-1","CHALCOPYRITE","SULFIDE",0.003,0,30.078,0,0,34.565,0.033,0,0.051,0,0,0.09,32.976,0,0,0,0.01,0.01,0.007,0,0.03,0,97.853
"247","GUUD-206-14_C1_Sulf-11-2","CHALCOPYRITE","SULFIDE",0.007,0.028,30.082,0,0,34.453,0.088,0,0.027,0.021,0,0.11,32.82,0,0,0,0,0,0,0,0,0,97.636
"248","GUUD-206-14_C1_Sulf-1-1","PYRRHOTITE","SULFIDE",0,0,58.504,0.223,0.576,0.001,0.054,0,0.04,0,0.039,0.07,36.648,0,0,0,0,0,0.011,0,0,0,96.166
"249","GUUD-206-14_C1_Sulf-1-2","PYRRHOTITE","SULFIDE",0.006,0,58.229,0.274,0.524,0.074,0.012,0,0.026,0.009,0,0.07,36.378,0,0,0.03,0.01,0.002,0,0,0.001,0,95.645
"250","GUUD-206-14_C1_Sulf-1-3","PYRRHOTITE","SULFIDE",0,0,58.517,0.274,0.444,0,0.046,0,0.007,0.025,0,0.08,36.749,0,0,0.007,0.0065,0,0,0,0,0,96.1555
"251","GUUD-206-14_C1_Sulf-1-4","PYRRHOTITE","SULFIDE",0.025,0,58.408,0.272,0.567,0.018,0.046,0,0,0,0,0.09,36.609,0,0,0.004,0.01,0.01,0,0,0.035,0,96.094
"252","GUUD-206-14_C1_Sulf-1-5","PYRRHOTITE","SULFIDE",0.007,0.009,58.526,0.253,0.319,0.022,0,0,0.039,0,0,0.18,36.633,0,0,0.01,0.01,0,0.023,0,0.029,0,96.06
"253","GUUD-206-14_C1_Sulf-10-1","PYRRHOTITE","SULFIDE",0.007,0.077,59.252,0.145,0.425,0,0.035,0,0.065,0,0,0.11,37.062,0,0,0,0.01,0,0.029,0,0.037,0,97.254
"254","GUUD-206-14_C1_Sulf-10-2","PYRRHOTITE","SULFIDE",0,0.02,58.868,0.149,0.471,0,0.023,0,0,0,0.01,0.09,37.023,0,0,0.009,0,0,0,0,0.07,0,96.733
"255","GUUD-206-14_C1_Sulf-5-1","PYRRHOTITE","SULFIDE",0.015,0,58.626,0.122,0.595,0,0.015,0,0,0,0,0.07,37.114,0,0,0,0,0,0.028,0,0.039,0,96.624
"256","GUUD-207-6_C1_Sulf-1-1","PYRRHOTITE","SULFIDE",0.028,0,59.29,0.071,0.068,0.048,0,0,0,0,0,0.07,38.845,0.003,0,0,0,0,0.004,0,0.017,0,98.444
"257","GUUD-207-6_C1_Sulf-1-2","PYRRHOTITE","SULFIDE",0,0,58.504,0.062,0.321,0,0,0,0,0,0.063,0.12,38.209,0,0,0,0,0,0.007,0,0.059,0,97.345
"258","GUUD-207-6_C1_Sulf-1-3","PYRRHOTITE","SULFIDE",0.009,0.023,58.663,0.065,0.217,0,0,0,0.051,0,0,0.12,37.687,0,0,0,0.005,0,0.009,0,0,0,96.849
"259","GUUD-207-6_C1_Sulf-1-4","PYRRHOTITE","SULFIDE",0.002,0,59.317,0.101,0.158,0,0.005,0,0,0,0,0.13,38.113,0,0,0,0,0,0.007,0,0.037,0,97.87
"260","GUUD-207-6_C1_Sulf-1-5","PYRRHOTITE","SULFIDE",0,0.005,59.082,0.074,0.386,0.112,0.015,0,0.025,0,0.056,0.07,38.172,0,0,0,0,0,0.007,0,0.058,0,98.062
"261","GUUD-207-6_C1_Sulf-1-6","PYRRHOTITE","SULFIDE",0,0.018,58.88,0.043,0.105,0.009,0.026,0,0,0.032,0,0.09,38.028,0,0,0,0.01,0.01,0.01,0,0.044,0,97.305
"262","GUUD-207-6_C2_Sulf-1-1","PYRRHOTITE","SULFIDE",0,0.045,59.598,0.039,0.034,0,0.023,0,0.002,0,0.01,0.08,38.105,0,0,0,0,0,0,0,0,0,97.936
"263","GUUD-207-6_C2_Sulf-1-2","PYRRHOTITE","SULFIDE",0.029,0.014,59.07,0.048,0.115,0,0,0,0,0.013,0,0.13,37.928,0,0,0,0,0,0.005,0,0,0,97.352
"264","GUUD-207-6_C2_Sulf-1-3","PYRRHOTITE","SULFIDE",0.003,0,59.097,0.101,0.085,0.037,0,0,0,0,0.083,0.07,37.728,0,0,0.001,0,0.002,0,0,0.014,0,97.221
"265","GUUD-206-14_C1_Sulf-2-1","SPHALERITE","SULFIDE",0.017,0.038,6.917,0.162,0,0.019,53.736,0,0.003,0,0.011,0.12,29.732,0,0.222,0,0.02,0,0.011,0,3.685,0,94.693
